ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001085146-23-004435	0	0	0	N
0001104659-23-117972	0	105	160242275	
0000950172-23-000152	0	80	1512969515	N
0001835700-23-000004	0	4	3405	N
0001420506-23-002185	0	14	88533952	N
0001085146-23-004434	0	8	520799279	N
0000950172-23-000151	0	20	1539867008	N
0001398344-23-020691	0	47	69347475	
0000769993-23-000396	6	11925	497696820182	N
0001085146-23-004433	0	0	0	N
0000950172-23-000150	0	18	1651428442	N
0000950172-23-000149	0	18	1509790862	N
0001398344-23-020690	0	316	1481447495	
0001085146-23-004432	0	0	0	N
0001771673-23-000007	0	7	119537950	N
0001389932-23-000010	1	75	321489380	N
0001632813-23-000003	2	242	7788072	N
0001728195-23-000011	7	16478	480508325738	N
0001085146-23-004431	0	123	186495118	N
0001172661-23-003970	2	1601	13139542175	
0001844640-23-000012	0	28	424157630	N
0001085146-23-004430	1	776	13825068879	N
0001837343-23-000005	0	21	745110994	N
0000950172-23-000148	0	18	1411950716	N
0001221073-23-000087	0	87	375532615	
0001221073-23-000086	0	80	125047957	
0001221073-23-000085	0	452	905590342	
0001892688-23-000091	1	18	151186461	N
0001581655-23-000005	0	146	395686	N
0001085146-23-004429	0	96	172268742	N
0001540866-23-000005	0	10	766976266	N
0001062993-23-020774	0	73	142624305	Y
0001172661-23-003969	0	355	1353756104	
0001054646-23-000006	0	359	1844484681	N
0001104659-23-117969	0	1	958108	
0001085146-23-004428	0	0	0	N
0001877093-23-000005	0	50	91075506	N
0001104659-23-117967	0	275	7806283	
0001104659-23-117966	1	506	2263834926	
0001827734-23-000007	0	21	1035752179	N
0001619390-23-000003	0	0	0	N
0001085146-23-004427	1	248	841742513	N
0000905148-23-001417	2	1583	35187180580	
0001081019-23-000010	0	3101	65068295466	N
0001367401-23-000008	0	206	5407612016	N
0001654954-23-014315	5	6948	60247201021	
0001537455-23-000007	0	2	5481	N
0001493152-23-040943	0	0	0	
0001104659-23-117959	0	75	227066246	
0001892688-23-000089	0	14	787881424	N
0001765380-23-000248	0	98	189479526	N
0001085146-23-004425	6	1869	37928993286	N
0001635663-23-000009	0	43	269796497	N
0000950123-23-010704	1	202	931903507	N
0001106565-23-000008	0	176	1815370851	N
0001050464-23-000013	0	8	1715910658	N
0000909012-23-000116	0	35	70499334	N
0001536520-23-000005	0	18	455218910	N
0001533421-23-000011	3	9639	3196734529	N
0001017918-23-000018	2	334	34416560037	
0000921895-23-002616	2	17	502477200	
0001019056-23-000392	0	115	2797207466	
0000935836-23-000702	1	28	1038433501	
0000950123-23-010695	3	680	9020895038	N
0001398344-23-020687	0	126	6524173224	
0001626220-23-000003	0	40	1352707358	N
0001697013-23-000037	0	69	1181732478	N
0001830922-23-000005	0	112	116255371	N
0001085146-23-004423	0	808	1524254132	N
0001777234-23-000005	0	8	56930761	N
0001085146-23-004422	5	1571	11119752442	N
0001672355-23-000013	0	25	870348436	N
0000908834-23-000163	0	141	618271802	
0000908834-23-000162	0	230	1950432591	
0000908834-23-000161	0	331	4456302821	
0001062993-23-020765	2	2270	65778641701	N
0001085146-23-004420	0	4	290331566	N
0001214822-23-000008	0	47	3724835779	N
0001085146-23-004419	0	1	1533735	N
0000919574-23-006372	0	48	13562697115	
0001372312-23-000007	3	830	15262975765	N
0001085146-23-004418	0	76	259424102	N
0000921895-23-002613	2	7	548530208	
0001214659-23-014980	0	52	323082299	
0001434165-23-000005	0	884	607438567	N
0001088950-23-000005	0	1680	3369456851	Y
0001597823-23-000006	0	154	920913	N
0000905148-23-001416	0	1	111999552	
0001085146-23-004416	0	138	325886297	N
0001085146-23-004415	0	174	372943717	N
0001085146-23-004414	0	34	111088025	N
0001085146-23-004413	0	2711	15849173822	N
0001964437-23-000007	0	20	238925068	N
0001493152-23-040932	1	16	253243216	
0001085146-23-004412	0	1700	6400822813	N
0001941040-23-000348	0	1331	8024916707	
0001835730-23-000007	0	31	296009927	N
0000950123-23-010681	3	196	6206911612	N
0001085146-23-004411	0	2201	11584744937	N
0000919574-23-006369	7	2928	37170977309	
0001266227-23-000004	0	9	63161	N
0001886506-23-000012	0	52	210842595	
0001085146-23-004410	0	91	407824023	N
0001085146-23-004409	0	47	107558273	N
0001569136-23-000005	0	19	68234195	N
0001802630-23-000010	0	91	1083865778	N
0001085146-23-004408	0	68	160747380	N
0001056823-23-000057	0	331	5049772695	N
0001927067-23-000005	0	14	7653182	Y
0001085146-23-004407	0	29	100630154	N
0001493152-23-040928	0	9	393219264	
0000929638-23-003110	0	35	80075922	
0001085146-23-004406	0	44	155686891	N
0001398344-23-020684	0	330	9997555043	
0001085146-23-004405	0	60	111560613	N
0001011443-23-000024	0	216	15398304481	Y
0001085146-23-004404	0	72	414871997	N
0001062574-23-000009	0	527	4216382	N
0001085146-23-004403	0	50	408451586	N
0001085146-23-004402	0	179	433692499	N
0001172661-23-003968	0	200	149179096	
0001104659-23-117946	4	8	511489229	
0000905148-23-001415	1	4	396841102	
0001683689-23-000004	0	21	157993	N
0001420506-23-002183	0	26	626045671	N
0001085146-23-004401	0	9	9460825	N
0001332632-23-000008	0	166	3139158236	N
0001085146-23-004400	0	73	148660874	N
0000943712-23-000011	0	2	333271559	N
0000929638-23-003106	1	26	39068273	
0001085146-23-004398	0	0	0	N
0001085146-23-004397	0	0	0	N
0001085146-23-004396	0	0	0	N
0001085146-23-004395	0	0	0	N
0001085146-23-004394	0	0	0	N
0000905148-23-001413	0	5	333277057	
0001466697-23-000015	0	909	2134600	N
0001420506-23-002181	0	10	1350031176	N
0001398344-23-020681	0	223	1603461625	
0001104659-23-117944	3	28	1358040	
0001398344-23-020679	0	157	440350873	
0001512901-23-000004	0	108	408340628	N
0000905148-23-001412	7	2183	70401850910	
0000009634-23-000008	1	1588	4537146932	N
0001892134-23-000001	0	52	1505659441	N
0000950123-23-010666	1	26	190059096	N
0001772937-23-000008	2	77	415577	N
0001662906-23-000006	0	11	1067103588	N
0000950123-23-010663	0	192	148395649890	N
0001764387-23-000005	0	906	199169	N
0001630243-23-000009	0	27	914571916	N
0001750312-23-000008	0	8	83959436	N
0001398344-23-020675	0	1017	401177742	
0000919574-23-006354	0	1	5156262	
0001846462-23-000005	0	132	275635848	N
0000919574-23-006353	6	391	6117000381	
0001846352-23-000008	0	19	180152026	N
0001104659-23-117933	0	118	2458340242	
0001813784-23-000005	0	13	361112	N
0001768757-23-000009	0	18	294151754	N
0000935836-23-000701	0	23	339784485	
0000950159-23-000295	0	14	795800524	
0001214659-23-014968	0	54	122248768	
0001535588-23-000006	0	1199	44509693373	N
0001085146-23-004393	3	127	13906891881	
0000950159-23-000293	0	349	710556574	
0001172661-23-003967	0	50	3587480604	
0001566887-23-000008	0	32	132099	N
0001750183-23-000009	0	55	1122668296	N
0001937964-23-000006	0	27	240556497	N
0001135428-23-000285	0	255	1469356187	
0001681614-23-000004	0	18	133661489	N
0001944662-23-000048	0	264	179236853	N
0001825309-23-000009	0	10	224457500	N
0001047859-23-000005	0	10	30517474	N
0001172661-23-003966	0	157	179732073	
0001493152-23-040906	0	0	0	
0001420506-23-002178	0	7	371685179	N
0001135428-23-000283	0	225	3009644065	
0001682021-23-000029	0	193	305854167	
0001172661-23-003965	0	62	175398886	
0001941040-23-000347	0	354	553719308	
0000938206-23-000030	0	390	7692581952	
0000919574-23-006351	6	2362	39042521142	
0001283072-23-000004	5	3831	11631279718	N
0001140361-23-053158	0	129	283142799	
0001420506-23-002177	0	6	361336799	N
0001172661-23-003964	0	581	8529814027	
0000902664-23-005500	0	25	2285209443	
0001808275-23-000013	0	7	597839	N
0001945037-23-000005	0	901	263651	N
0000920441-23-000004	0	236	372524461	N
0001985414-23-000002	0	585	341224987	N
0001725547-23-002027	0	18	51625956	N
0001172661-23-003963	0	122	874722838	
0000919574-23-006349	0	2859	9430191197	
0001085146-23-004392	0	0	0	N
0001062993-23-020758	0	91	238140622	N
0001085146-23-004391	0	0	0	N
0000919574-23-006348	1	6	237563629	
0001085146-23-004390	0	272	2332164340	N
0001085146-23-004388	0	26	65366437	N
0001062993-23-020757	15	1219	290651919	N
0001315863-23-000886	0	254	6528929309	N
0001655183-23-000013	0	10	339862923	
0001725547-23-002026	0	127	309885226	N
0000891287-23-000005	0	269	3986222	N
0001012975-23-000460	0	46	1294869656	N
0000919574-23-006346	1	73	85676050	
0001104659-23-117928	0	123	1070047809	
0001062993-23-020754	0	23	276520637	N
0001140361-23-053156	0	106	1236900961	
0001085146-23-004387	0	115	109198811	N
0000919574-23-006345	0	10	191003856	
0001085146-23-004386	0	48	192065734	N
0001140361-23-053154	0	291	141047239	
0001085146-23-004385	0	47	124618878	N
0001420506-23-002175	0	14	232925657	N
0001085146-23-004384	0	122	415873872	N
0001085146-23-004383	0	91	160215007	N
0001085146-23-004382	0	0	0	N
0001085146-23-004381	7	25	739886626	N
0001085146-23-004380	0	682	30869861224	N
0001085146-23-004379	0	0	0	N
0001085146-23-004378	0	0	0	N
0001803916-23-000010	0	1196	2396707	N
0001085146-23-004377	0	0	0	N
0001085146-23-004376	0	0	0	N
0001085146-23-004375	0	0	0	N
0001213900-23-086661	0	44	1084252761	
0001765876-23-000004	0	152	793474598	N
0001172661-23-003962	0	24	1644168698	
0001841616-23-000004	0	468	3270025499	N
0000902664-23-005499	0	2	2376848592	
0000902664-23-005498	0	42	1120976733	
0001085146-23-004374	1	38	1901937010	N
0001172661-23-003961	0	120	3733196359	
0001104659-23-117924	0	18	75040521	
0001912008-23-000006	0	0	0	N
0001930102-23-000006	1	50	173239485	N
0000936753-23-000061	2	213	9449479647	N
0001546190-23-000013	0	15	1846819815	N
0001398344-23-020666	1	144	2497373017	
0001120048-23-000004	0	7	325373	N
0001986042-23-000025	0	144	198767026	N
0000935836-23-000700	0	19	529909141	
0001033475-23-000007	0	59	1068157114	N
0001734493-23-000007	0	110	927069343	N
0001759654-23-000008	0	61	312755171	N
0001928999-23-000005	0	207	147892715	N
0001172661-23-003958	2	38	1099280034	
0001420506-23-002171	0	369	142653255	N
0001448574-23-000004	0	488	5361666213	N
0001398344-23-020658	1	129	3100960259	
0000315297-23-000013	0	1930	19529350	N
0001104659-23-117915	0	2	37937137	
0000935836-23-000699	0	142	1562085801	
0001104659-23-117914	0	3	261862881	
0000950123-23-010620	7	2433	6183490165	N
0000919574-23-006338	1	66	254184508	
0001816616-23-000005	0	65	1856944780	N
0001599814-23-000007	0	34	861400638	N
0000950123-23-010619	2	1	433330027	N
0001104659-23-117912	0	4	95635539	
0001172661-23-003957	0	96	229679843	
0001314440-23-000015	0	174	6093911837	
0001759654-23-000007	0	1003	2196796000	N
0001214659-23-014955	0	15	355499748	
0001780570-23-000005	0	1011	2849997705	N
0000892712-23-000139	2	917	1439053820	N
0001104659-23-117910	0	4	315424429	
0001839445-23-000004	0	84	117164112	N
0000935836-23-000698	0	27	704488112	
0001420506-23-002163	0	29	58616777	N
0001420506-23-002162	0	70	111273612	N
0001580642-23-006193	0	196	1802388666	
0001831683-23-000005	0	45	74671323	N
0001172661-23-003956	0	60	161501074	
0001172661-23-003955	0	39	109210580	
0000935836-23-000697	0	45	321831087	
0001817681-23-000006	0	2	529762387	N
0001695459-23-000010	0	2	1649193832	N
0001872766-23-000007	0	10	720383244	N
0001172661-23-003953	1	1830	4547526939	
0001172661-23-003952	0	9	145627738	
0000919574-23-006336	0	1	565836	
0001801241-23-000007	0	299	142523	N
0001602119-23-000009	0	11	53950802	N
0000950123-23-010608	0	2	1012118459	N
0001632833-23-000005	0	1	181997889	N
0001420506-23-002158	0	18	251895800	N
0001058470-23-000005	0	163	403578215	N
0001172661-23-003951	0	132	140083323	
0001855655-23-000011	0	31	1473652622	N
0000950123-23-010604	0	361	987951595	N
0001911013-23-000006	0	104	147096824	N
0000919574-23-006334	0	26	414377870	
0001164508-23-000005	1	1227	82750234	N
0000935836-23-000696	0	51	2964695194	
0001671754-23-000009	0	127	886613635	N
0001172661-23-003950	0	1	0	
0001761380-23-000010	0	10	167471	N
0001644187-23-000004	0	47	627255609	N
0000935836-23-000695	0	9	377719281	
0001172661-23-003949	0	167	1325337645	
0000950123-23-010601	2	2	980566377	N
0001104659-23-117899	0	4	272176077	
0001597694-23-000007	0	127	1356435111	N
0001595880-23-000004	0	71	4222374888	N
0001172661-23-003948	0	2242	44809332712	
0001315863-23-000885	0	143	858442364	N
0000950123-23-010600	0	40	1353229881	N
0000909012-23-000115	0	53	119596770	N
0001104659-23-117894	0	7	192602291	
0000919574-23-006332	0	3	53929056	
0001172661-23-003947	0	15	979335046	
0001493152-23-040874	0	58	779551422	
0001420506-23-002156	0	31	164536343	N
0001943395-23-000008	0	41	257124363	N
0001172661-23-003946	0	473	189718045	
0001104659-23-117892	0	42	154333000	
0001172661-23-003945	0	16	1550078462	
0001172661-23-003944	0	350	2019356222	
0001013594-23-000923	0	114	1079798116	
0000897101-23-000498	0	103	128563921	
0001595521-23-000009	0	182	230136792	N
0001104659-23-117891	1	3	1331417063	
0001838211-23-000009	0	26	270891972	N
0001398344-23-020653	0	92	729536478	
0000902664-23-005497	0	6	387115451	
0001172661-23-003943	0	132	216054806	
0001172661-23-003942	0	84	239555807	
0000902664-23-005496	0	4	210641160	
0001214659-23-014951	0	50	553161550	
0001420506-23-002155	1	390	2299506966	N
0001172661-23-003941	0	11	1203961740	
0001405086-23-000273	0	4	43787302	N
0001971024-23-000018	0	70	399223084	N
0001650717-23-000004	0	2686	998799674	N
0001849776-23-000005	0	12	137555050	N
0001214659-23-014950	0	2	7652181	Y
0001842361-23-000006	0	36	114392713	N
0001104659-23-117884	0	1	339030948	
0001892688-23-000088	0	17	407898680	N
0001104659-23-117881	0	173	249423478	
0001104659-23-117880	0	45	270377448	
0001172661-23-003940	0	32	318165316	
0001172661-23-003939	0	18	664591311	
0001172661-23-003938	0	192	266893398	
0001590144-23-000030	0	83	528776971	N
0001128213-23-000004	0	177	423642895	N
0001599793-23-000005	1	51	106437168	N
0001493152-23-040863	0	8	101314587	
0001172661-23-003937	0	4	210357770	
0001104659-23-117878	0	1	0	
0001965613-23-000008	0	19	223565687	N
0001980273-23-000003	0	69	255155954	N
0001104659-23-117876	0	55	1427792384	
0000935836-23-000694	0	9	151111037	
0001420506-23-002153	0	12	207407411	N
0001010911-23-000018	1	148	518668	N
0000893879-23-000006	0	227	1533279373	N
0000950123-23-010588	0	17	140071938	N
0001420506-23-002151	0	1	0	N
0001172661-23-003936	0	41	87954012	
0001908378-23-000004	0	60	164459009	N
0001578621-23-000009	4	927	8895644813	N
0000919574-23-006327	0	577	9231795977	
0001420506-23-002150	0	25	161038524	N
0001172661-23-003935	0	30	86864103	
0001906602-23-000004	0	22	143414193	N
0001944889-23-000012	0	26	221795517	N
0001104659-23-117870	0	0	0	
0001892688-23-000087	0	22	140953110	N
0001540531-23-000010	0	87	72009771	N
0000909012-23-000114	0	15	122877023	N
0001936953-23-000006	0	885	2836996364	N
0001315863-23-000884	0	1	1501766	N
0001531611-23-000004	0	25	31252813	N
0001172661-23-003934	0	18	139824570	
0001602476-23-000004	0	58	150724994	N
0001398344-23-020649	0	58	483591534	
0001172661-23-003933	0	5	85534882	
0000905148-23-001402	0	15	191499893	
0001172661-23-003932	0	68	169617948	
0000860643-23-000005	0	82	9172158155	N
0000909012-23-000113	0	9	377855794	N
0001892688-23-000086	0	13	67785650	N
0001172661-23-003931	0	22	310644047	
0001387303-23-000010	2	12	82896537	N
0000905148-23-001401	0	18	48671099	
0001546531-23-000016	1	3	8918	N
0000905148-23-001400	0	13	98976144	
0001520710-23-000006	0	140	1304422	N
0001420506-23-002148	0	16	264707405	N
0001357550-23-000072	2	185	1687731490	N
0001013538-23-000008	0	57	1468707714	N
0001604867-23-000009	0	19	142946928	N
0001757128-23-000006	0	593	472798664	N
0001011438-23-000626	0	52	36476308819	
0000905148-23-001399	0	24	506632264	
0000919574-23-006320	2	63	601884791	
0001132716-23-000025	0	4	681259000	
0001741001-23-000005	0	33	396420	N
0001104659-23-117859	0	129	1305229112	
0001172661-23-003930	1	16	134409205	
0000905148-23-001397	0	1	18266300	Y
0001711200-23-000008	0	140	305705892	N
0001856405-23-000005	1	119	2424241476	N
0001172661-23-003929	6	2751	3235622810	
0001691919-23-000012	2	142	489623	N
0001172661-23-003928	0	1	0	
0001323645-23-000005	0	1901	28934200	N
0000905148-23-001395	0	2	59960193	
0001719087-23-000010	1	334	239056498	N
0001795594-23-000007	1	3	3786000	
0001799456-23-000013	0	60	885273829	N
0001332811-23-000008	0	109	317269	N
0001420506-23-002147	0	53	111214489	N
0001420506-23-002146	0	52	152627639	N
0001420506-23-002145	0	473	597566904	N
0001000097-23-000012	0	72	868269519	N
0001420506-23-002142	0	42	374986542	N
0001062993-23-020746	0	2506	32015553527	N
0001104659-23-117851	0	153	711546364	
0000909012-23-000112	0	53	138489287	N
0000950123-23-010558	13	11163	304595981123	N
0000919574-23-006317	0	28	156024308	
0001643351-23-000006	0	26	127209347	N
0001132716-23-000024	0	5	991663000	
0001172661-23-003926	0	1497	27086227079	
0000757657-23-000020	0	1214	5216549377	
0001729242-23-000004	0	0	0	N
0001548997-23-000005	2	2	240966113	N
0000919574-23-006314	1	23	532397764	
0000919574-23-006313	0	219	1127338803	
0001013594-23-000922	0	43	352614823	
0001540531-23-000009	0	24	1104120749	N
0001420506-23-002139	0	3	20406711	N
0001938757-23-000030	0	127	1089798460	N
0001172661-23-003925	0	40	5043875637	
0001742418-23-000006	0	50	1017342	N
0001104659-23-117845	0	2	22581111	
0001398344-23-020645	0	13	308733935	
0001172661-23-003924	0	75	416001129	
0001013594-23-000921	0	19	190800042	
0001140361-23-053126	1	84	680867855	
0001172661-23-003923	0	1	329809721	
0001411784-23-000008	0	202	213441379	N
0000950123-23-010552	0	5	166257376	N
0001420506-23-002136	0	452	284239859	N
0001706164-23-000004	0	112	333695	N
0001104659-23-117843	0	122	342069220	
0001424367-23-000019	1	221	803157777	N
0001213900-23-086543	0	3	179071800	
0001213900-23-086542	0	8	811789159	
0000950123-23-010549	0	74	180028897	N
0000950123-23-010550	1	1	190063124	N
0000950123-23-010548	0	556	934209023	N
0000950123-23-010547	1	28	125698430	N
0001420506-23-002135	0	10	327679000	N
0000950123-23-010543	2	1	55372623	N
0001420506-23-002134	0	72	191744613	N
0001829805-23-000006	0	1	0	Y
0001172661-23-003922	0	32	743864680	
0001104659-23-117840	0	14	3451861858	
0001172661-23-003921	0	39	513364560	
0001068837-23-000018	4	4968	77583510376	N
0001599620-23-000004	0	100	477127386	N
0001040197-23-000004	0	1124	6724452542	N
0001085146-23-004369	0	94	125462996	N
0001013594-23-000920	0	31	153638781	
0001172661-23-003920	0	114	447854726	
0001172661-23-003919	0	57	732715265	
0000935836-23-000693	0	30	807828877	
0001513189-23-000023	0	240	1859720663	N
0001911807-23-000007	1	11	866242928	N
0001172661-23-003918	0	3	153319581	
0001140361-23-053122	0	27	123667793	
0000950123-23-010539	2	1	55372623	N
0001178913-23-003675	2	95	11017901354	
0000950123-23-010538	2	1	55372623	N
0001013594-23-000919	0	29	62395755	
0000909012-23-000111	0	147	276978591	N
0001104659-23-117835	0	181	340750195	
0001172661-23-003917	0	88	174509767	
0001350780-23-000007	0	93	648371	
0001172661-23-003916	0	21	1716848431	
0000935836-23-000692	0	71	4432296498	
0001050743-23-000012	0	1147	5403365	
0001013594-23-000918	0	23	267013621	
0000935570-23-000009	0	64	107326907	N
0001730478-23-000004	0	44	779373709	N
0001172661-23-003915	0	64	16326973	
0001132716-23-000022	0	4	774355528	
0000919574-23-006307	0	56	1389708	
0001725547-23-002020	0	54	67527729	N
0001172661-23-003914	0	52	267962110	
0001469026-23-000015	0	12	2603534895	N
0000935836-23-000691	0	2	769649	
0001420506-23-002131	0	438	653119765	N
0001172661-23-003913	0	20	172855112	
0001398344-23-020640	0	24	94931748	
0001512920-23-000005	0	141	1085277949	
0000950123-23-010533	5	19	129313203	N
0000909012-23-000110	0	627	713739539	
0001908186-23-000004	0	419	222177137	N
0001595951-23-000009	1	1	1	
0001798849-23-000010	0	52	10942705624	
0001172661-23-003912	0	101	413499749	
0001172661-23-003911	0	214	8520762884	
0001455468-23-000005	1	122	133553276	N
0001104659-23-117822	1	338	204102431	
0000935836-23-000690	0	30	58425083	
0001104659-23-117821	0	2	712231141	
0001571075-23-000004	0	88	152012	N
0000919574-23-006304	0	9	26321829	Y
0001172661-23-003910	0	47	2759091037	
0001840755-23-000007	0	34	152000632	N
0001420506-23-002128	0	14	254527315	N
0001420506-23-002127	0	13	189925433	N
0001132716-23-000021	0	2	457025892	
0000950123-23-010529	1	32	358769628	N
0001566801-23-000004	0	83	236911625	N
0001062993-23-020741	0	107	931124479	N
0001569833-23-000006	0	27	255523952	N
0000892712-23-000138	0	162	356850596	N
0001172661-23-003909	0	30	2187289399	
0001275880-23-000008	0	74	175153979	N
0001172661-23-003908	6	254	574204382	
0000935836-23-000689	0	65	452548994	
0000919574-23-006300	1	28	457827135	
0001405086-23-000271	0	147	298361528	N
0001172661-23-003907	0	22	1781175935	
0001213900-23-086509	0	195	941461591	
0001725547-23-002019	0	464	4502038136	N
0001013594-23-000917	0	75	90343033	
0001398344-23-020638	0	191	123480743	
0001665077-23-000011	0	30	802233	N
0000919574-23-006298	0	11	147027412	
0001493152-23-040832	0	2	177826589	
0001556785-23-000023	0	45	6565933	
0001013594-23-000916	0	23	103026373	
0001819581-23-000005	0	76	222078592	N
0001850901-23-000011	0	47	321808461	N
0001172661-23-003905	1	4871	37764107376	
0001013594-23-000915	0	1	0	
0001705712-23-000009	0	5	250729619	N
0001172661-23-003904	0	4713	38878369194	
0001172661-23-003903	0	91	360527029	
0001748305-23-000017	0	1	0	
0000929638-23-003096	2	2	1028	
0000929638-23-003095	1	379	2717201	
0001434819-23-000010	2	735	48900348711	
0001759364-23-000006	0	16	70461229	
0000929638-23-003094	1	1	649	
0001405086-23-000269	0	103	1317365400	N
0000898427-23-000021	5	2586	28450496290	N
0001132716-23-000020	0	552	3969268114	Y
0001323255-23-000015	3	39	11353545490	
0001420506-23-002121	0	44	550106738	N
0001013594-23-000914	0	46	936033314	
0001085146-23-004368	3	66	15412894235	N
0000919574-23-006292	0	30	115769265	
0001085146-23-004367	0	10	383937352	N
0001085146-23-004366	1	163	1534953393	Y
0001085146-23-004365	1	12	782204696	N
0001085146-23-004364	1	8	524446875	N
0001013594-23-000913	0	21	102468208	
0001085146-23-004363	1	8	852132137	N
0001114739-23-000005	0	141	706428	N
0001085146-23-004362	2	3	279643	N
0001172661-23-003901	0	12	4871802471	
0001172661-23-003900	0	87	1850614042	
0001085146-23-004361	2	2	343061	N
0001119032-23-000014	0	72	284116104	Y
0000764068-23-000012	3	6038	286635914722	N
0001085146-23-004360	2	1	193946	N
0001214659-23-014945	0	26	679112367	
0001420506-23-002119	0	10	566565849	N
0001172661-23-003899	0	5	472493135	
0001085146-23-004359	0	0	0	N
0001085146-23-004358	0	31	224130481	N
0001699080-23-000005	0	129	504382003	N
0001172661-23-003898	0	21	95359495	
0001535943-23-000007	0	181	1320074328	N
0001134813-23-000008	0	226	346188	N
0001104659-23-117806	1	61	115641683	
0001085146-23-004357	0	146	601043383	N
0001850901-23-000010	0	14	328982347	N
0001085146-23-004356	0	27	249478090	N
0001434997-23-000004	0	63	842620045	N
0001085146-23-004355	0	366	3582402782	N
0001405086-23-000267	0	28	123633172	N
0001085146-23-004354	0	0	0	N
0001085146-23-004353	1	251	1364968529	N
0001725547-23-002018	0	18	859625338	N
0001085146-23-004352	0	30	611360190	N
0001062993-23-020739	0	533	1522066577	N
0001040210-23-000005	0	89	1381656994	N
0001172661-23-003897	0	7	40394842	
0001085146-23-004351	0	631	1540505337	N
0001647251-23-000012	0	9	27564603517	N
0001085146-23-004350	0	27	256763717	N
0001724269-23-000004	0	347	1683516000	N
0001172661-23-003895	0	21	1191456759	
0001172661-23-003894	0	6	198920032	
0001037389-23-000124	0	3611	58653433	N
0001062993-23-020737	0	1	0	N
0001172661-23-003893	1	93	268328821	
0001085146-23-004348	0	8	76948211	
0001846444-23-000004	0	23	338017796	N
0001085146-23-004347	0	24	1198713848	N
0001385642-23-000011	0	25	275701330	N
0001085146-23-004346	0	18	66598131	N
0000902664-23-005495	0	1	0	
0001172661-23-003892	0	1146	1763676343	
0000902664-23-005494	0	2	72261925	
0001172661-23-003891	0	14	764221908	
0000950123-23-010523	0	3	34962	N
0001420506-23-002117	0	28	36574742	N
0001085146-23-004345	0	1361	4124995048	N
0001172661-23-003890	0	133	1625723879	
0000919574-23-006283	3	366	262818129	
0001011438-23-000614	11	78	5085096607	
0001349353-23-000015	1	12	327056078	N
0001568621-23-000011	0	25	756769834	N
0001172661-23-003889	0	1052	2351548144	
0001104883-23-000008	0	54	528067203	N
0001936249-23-000008	0	5	21133876	N
0001630709-23-000004	0	16	106005465	N
0001682475-23-000010	0	26	112307570	N
0000080255-23-002834	0	571	141466267	N
0000904454-23-000629	2	188	1651115660	
0001172661-23-003888	0	30	565200713	
0001420506-23-002115	0	29	979255615	N
0001454027-23-000005	1	2328	8572164439	N
0000950123-23-010510	0	107	162901010	N
0001012975-23-000459	1	0	0	N
0001104659-23-117803	0	5	122672630	
0001811513-23-000013	1	4	240012	N
0001172661-23-003887	0	124	2294683487	
0001085146-23-004344	15	6469	152705119275	N
0001085146-23-004343	0	0	0	N
0001172661-23-003886	0	3	1840485634	
0001085146-23-004342	0	0	0	N
0001405086-23-000261	4	13	101373177	N
0001607278-23-000013	0	35	180794	N
0001085146-23-004341	0	0	0	N
0001012975-23-000458	0	6	390494674	N
0001085146-23-004340	0	0	0	N
0001172661-23-003884	1	115	777401281	
0001085146-23-004339	0	0	0	N
0001600327-23-000012	1	301	602057327	N
0001595077-23-000008	0	36	1019348424	N
0001493152-23-040824	0	45	121621719	
0001691982-23-000005	0	37	1174509348	N
0001172661-23-003883	0	16	357841310	
0001284812-23-000286	2	395	43495421	
0001085146-23-004338	0	346	2854640098	N
0001759476-23-000004	0	103	340788924	N
0001140361-23-053115	0	10	312421966	
0000080255-23-002833	5	4384	682386478	N
0001085146-23-004337	0	14	508355843	N
0001420506-23-002112	0	93	476005373	N
0001046192-23-000024	3	2512	41650090	N
0001085146-23-004336	0	71	15143656516	N
0001085146-23-004335	0	9	13277205815	N
0001725547-23-002016	0	10	142394812	N
0001085146-23-004334	0	1	29526408	N
0000819864-23-000008	0	1508	857585682	N
0001172661-23-003882	0	25	1276249834	
0001085146-23-004333	0	1741	2705222872	N
0001420506-23-002111	0	47	16871374	N
0001172661-23-003881	0	20	1012681823	
0001085146-23-004332	0	62	221030843	N
0001085146-23-004331	0	51	75441586	N
0001020066-23-000010	0	75	29380230819	N
0001172661-23-003880	0	23	684245600	
0001085146-23-004330	0	8	103429537	N
0001172661-23-003879	0	34	4005683836	
0000945621-23-000579	0	54	1909694005	
0000912282-23-000482	0	218	2118364893	
0001802893-23-000006	0	13	99942033	N
0001172661-23-003878	0	110	300044107	
0001546531-23-000014	3	40	584359	N
0001172661-23-003877	0	212	571605572	
0001172661-23-003876	0	4	306877425	
0001714267-23-000005	0	25	174987377	
0001172661-23-003875	0	5	40647249	
0001616416-23-000011	2	93	310435	N
0001420506-23-002108	0	40	163502192	N
0001172661-23-003874	0	3	135709000	
0001042537-23-000009	0	44	117680029	N
0001172661-23-003871	2	49	192256716	
0001591505-23-000007	1	41	3122235961	N
0001661580-23-000004	0	274	7643433	N
0001172661-23-003870	0	16	444291788	
0001560717-23-000012	1	819	3287409015	N
0001172661-23-003869	0	89	315731717	
0000919574-23-006277	0	5	86020986	
0001894188-23-000007	0	14	454926000	N
0001398344-23-020630	0	17	56814699	
