ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001085146-23-004548	1	34	1699758240	N
0001437749-23-033229	0	146	97274344	N
0001085146-23-004546	0	56	133565601	N
0001815355-23-000003	0	72	411692781	N
0001725547-23-002560	0	548	5304727084	N
0001727783-23-000004	0	307	227576	N
0001104659-23-122012	0	27	312948514	
0001967261-23-000005	0	51	111638566	N
0001085146-23-004543	0	57	105924080	N
0001085146-23-004542	0	116	340172106	N
0001085146-23-004540	0	0	0	N
0000945621-23-000592	0	144	5446983880	
0001085146-23-004538	0	48	180264132	
0001941369-23-000008	0	140	254204810	
0001420506-23-002265	0	32	152544565	N
0000743367-23-000006	2	248	1255763088	N
0001455495-23-000004	0	285	386939347	N
0001950556-23-000006	0	128	15716209	N
0001484153-23-000001	0	12	42052194	N
0002001766-23-000006	0	18	217868430	N
0001013594-23-000954	0	90	635178369	
0001013594-23-000955	0	105	829288145	
0001013594-23-000956	0	94	784526149	
0000897101-23-000509	0	103	128563921	
0001214659-23-015575	0	58	903564809	
0001134008-23-000004	0	1099	1481099325	N
0001986152-23-000006	0	76	117110164	N
0001986152-23-000005	0	71	1144223	N
0000905729-23-000181	0	494	66902105	
0000905729-23-000180	0	490	65109760	
0000905729-23-000179	0	424	61727146	
0001633674-23-000004	0	545	153317954	N
0002001766-23-000004	0	16	231483340	N
0002001766-23-000002	0	18	246766230	N
0001535602-23-000008	0	438	8473118168	N
0002001766-23-000001	0	15	186585680	N
0000950123-23-011086	0	1	169353589	N
0000948046-23-000162	17	13031	154856020379	
0001398344-23-021089	0	752	6446761264	
0000884548-23-000004	0	153	812168876	N
0001062993-23-021369	0	113	151178470	N
0000950123-23-011076	0	1322	13969574433	N
0001420506-23-002240	0	165	194374342	N
0001420506-23-002238	0	161	203135284	N
0001172661-23-004070	2	279	13493817335	
0001911348-23-000005	0	24	95918973	
0001140361-23-054394	0	980	4257332782	
0001597298-23-000004	0	168	135738621	N
0000950123-23-011066	4	1624	24014024	N
0001941040-23-000355	0	52	429663114	
0002000490-23-000001	0	55	113684	N
0001580642-23-006292	0	114	287698683	
0001596468-23-000005	0	88	208818909	N
0001867587-23-000005	0	195	691835957	N
0001105863-23-000004	0	166	586143765	N
0001741129-23-000010	0	28	1993216	
0001766806-23-000103	0	545	2813369	N
0001172661-23-004069	1	4949	38151011142	
0001172661-23-004068	0	4796	39105528230	
0001213900-23-089164	0	208	2053732	
0000950123-23-011063	1	6488	19200311028	N
0001835700-23-000007	0	4	3206703	N
0001835700-23-000006	0	4	3488975	N
0001835700-23-000005	0	4	3404794	N
0001298088-23-000034	2	1290	45737837602	
0001213900-23-089108	0	149	469493403	
0001581655-23-000009	0	146	395689907	N
0001581655-23-000008	0	192	329377065	N
0001581655-23-000007	0	135	257414104	N
0001581298-23-000004	0	172	1686869011	N
0001298088-23-000031	2	1291	45169900468	
0001581655-23-000006	0	146	395686000	N
0001963732-23-000009	0	74	162382	N
0000950123-23-011061	0	205	1166488403	N
0001912970-23-000005	0	89	181483046	N
0001999371-23-000409	0	772	635150855	
0001754960-23-000344	0	154	109380538	N
0001754960-23-000345	0	158	111439962	N
0001802533-23-000006	0	192	350022215	N
0000897069-23-001625	0	53	73112700	
0001080576-23-000011	0	445	459942612	N
0000900169-23-000005	0	39	453577	N
0001580642-23-006260	0	131	671610913	
0001999898-23-000001	0	58	103642568	N
0002001471-23-000001	0	75	381825409	N
0001512920-23-000008	0	136	1110941848	
0001977723-23-000014	0	134	83396525	N
0001977723-23-000013	0	121	76923066	N
0001977723-23-000011	0	111	79328361	N
0001977723-23-000010	0	109	103673329	N
0001977723-23-000009	0	124	106768851	N
0001172661-23-004066	0	73	124472597	
0001172661-23-004065	0	75	128699014	
0001172661-23-004064	0	70	109616672	
0001172661-23-004063	0	66	98184475	
0001172661-23-004062	0	64	216735312	
0000950123-23-011039	2	157	6424615	N
0000950123-23-011037	0	1069	3457580448	N
0001616328-23-000005	0	256	1174034	N
0001479844-23-000008	0	1015	2643517036	N
0001749283-23-000003	0	162	85337358	N
0000947871-23-001090	0	27	1449643293	
0001848237-23-000005	0	654	246185	N
0001085146-23-004536	0	952	16883265952	N
0001705655-23-000004	0	165	88045826	N
0001921093-23-000005	0	135	139686391	N
0000902664-23-005626	0	1	35661600	
0000950123-23-011029	14	152	313257308189	Y
0000950103-23-016376	1	2	5900431	
0001908275-23-000006	0	106	95994674	N
0001462390-23-000041	0	115	143020	N
0001843303-23-000015	0	20	125398144	N
0001843303-23-000014	0	21	110036376	N
0001085146-23-004535	0	658	1635729975	N
0001085146-23-004534	0	82	162189515	N
0001398344-23-020813	0	56	569467617	
0001398344-23-020811	0	52	459969534	
0001398344-23-020810	0	17	169441104	
0001398344-23-020808	0	51	490062450	
0001398344-23-020805	0	47	192858177	
0001986042-23-000026	0	82	259451827	N
0001398344-23-020803	0	49	462749325	
0001172661-23-004061	0	2	1564880857	
0001398344-23-020801	0	52	441357735	
0001398344-23-020800	0	55	456198976	
0001398344-23-020798	0	55	376495945	
0001398344-23-020796	0	17	155339258	
0001398344-23-020795	0	17	166653233	
0001456511-23-000003	0	41	126278000	N
0001398344-23-020791	0	52	444177884	
0001398344-23-020790	0	17	179422719	
0001398344-23-020786	0	55	404791832	
0001398344-23-020785	0	17	148921901	
0001398344-23-020783	0	16	129053340	
0000749044-23-000004	0	446	614158000	N
0001398344-23-020779	0	19	155128333	
0001398344-23-020778	0	52	518248132	
0001095449-23-000094	0	5	74240257	N
0001398344-23-020776	0	15	136823784	
0001095449-23-000093	0	261	135665553	N
0001357550-23-000083	2	2	1647267	
0001357550-23-000082	2	2	322272	
0001095449-23-000092	0	33	114120498	N
0001357550-23-000081	2	2	14537405	
0001357550-23-000080	2	2	7086319	
0001357550-23-000079	2	2	7035000	
0001357550-23-000078	2	2	7042000	
0001357550-23-000077	2	2	1466087	
0001357550-23-000076	2	2	7730099	
0001894830-23-000002	0	30	98109992	N
0001357550-23-000075	2	2	11113665	
0001995674-23-000019	0	12	185629079	N
0001995674-23-000018	0	12	182029339	N
0001995674-23-000017	0	14	199236242	N
0000909012-23-000120	0	164	163798601	N
0001754960-23-000343	0	154	117690590	N
0001730383-23-000005	0	251	239768345	N
0001995674-23-000016	0	16	231828743	N
0001995674-23-000015	0	12	179214155	N
0001995674-23-000014	0	14	206709819	N
0001995674-23-000013	0	12	144034598	N
0001580642-23-006235	1	4350	74941949688	
0001965328-23-000004	0	72	90912455	N
0001095449-23-000090	0	21	154421847	N
0001776588-23-000005	0	125	505679548	N
0001095449-23-000088	0	172	320909248	N
0001683168-23-008208	0	57510	9074989201	
0001085146-23-004529	0	583	260954491	N
0001768824-23-000007	0	14	19444	N
0001768824-23-000005	0	15	24720	N
0001095449-23-000087	0	504	154042378	N
0001986152-23-000003	0	71	81239833	N
0001095449-23-000086	0	318	164434954	N
0001398739-23-000012	0	297	6742039	N
0001768824-23-000006	0	15	23313	N
0001398344-23-020765	0	36	660773161	
0001095449-23-000085	0	884	497303105	N
0001095449-23-000084	0	36	136282723	N
0001513227-23-000005	0	36	55689	N
0001214659-23-015227	0	13	5187245554	
0001986152-23-000004	0	99	108788650	N
0001095449-23-000091	0	102	105213166	N
0001095449-23-000083	0	209	108477296	N
0001095449-23-000089	0	130	116534557	N
0002001155-23-000002	0	168	103407025	N
0001794467-23-000006	0	127	814735052	N
0001845163-23-000002	0	207	121067733	N
0001106832-23-000004	0	274	1962630035	N
0002001155-23-000001	0	167	104356673	N
0000897070-23-000013	0	91	679323102	N
0001536444-23-000004	0	63	154948240	N
0001538383-23-000004	0	1372	347288812	N
0001452765-23-000012	0	3884	55647651372	N
0001794467-23-000005	0	109	311160411	N
0001963478-23-000005	0	535	118408	N
0001767040-23-000004	0	79	132438	N
0001966116-23-000004	0	70	106389935	N
0000900974-23-000006	0	653	2272257529	Y
0000810121-23-000006	0	2998	1993102394	N
0001085146-23-004527	0	91	103260786	
0000950123-23-011017	0	2226	9973067886	N
0001912128-23-000005	0	42	105656771	N
0001085146-23-004526	0	102	333074716	N
0001721242-23-000006	1	651	965628007	N
