ACCESSION_NUMBER,OTHERINCLUDEDMANAGERSCOUNT,TABLEENTRYTOTAL,TABLEVALUETOTAL,ISCONFIDENTIALOMITTED,timestamp
0001389932-24-000016,1,83,418567508,N,2023-10-01
0000905148-24-002184,0,12,209329777,,2023-10-01
0001214659-24-014596,0,169,919074051,,2023-10-01
0001420506-24-001528,1,70,423865875,N,2023-10-01
0000919574-24-004701,1,6,508146911,,2023-10-01
0001121477-24-000033,0,1,560325,,2023-10-01
0001121477-24-000032,0,1,521782,,2023-10-01
0000905148-24-002176,7,2244,97569766048,,2023-10-01
0001697228-24-000008,0,6,88830801,N,2023-10-01
0001121477-24-000031,0,1,585908,,2023-10-01
0001398344-24-014652,0,17,350069902,,2023-10-01
0001786915-24-000011,0,44,131477238,N,2023-10-01
0001121477-24-000030,0,1,642826,,2023-10-01
0001765380-24-000354,0,103,402413899,N,2023-10-01
0001802630-24-000008,0,92,1133962902,N,2023-10-01
0001121477-24-000029,0,1,673792,,2023-10-01
0001753384-24-000008,0,23,1009222557,,2023-10-01
0001121477-24-000028,0,1,688104,,2023-10-01
0001420506-24-001527,0,14,233506274,N,2023-10-01
0001121477-24-000027,0,1,632,,2023-10-01
0000877338-24-000004,0,54,1357401338,N,2023-10-01
0001739728-24-000005,1,1145,1974151,N,2023-10-01
0001121477-24-000026,0,1,659,,2023-10-01
0001861125-24-000006,0,42,268324479,N,2023-10-01
0001135428-24-000058,0,259,3927872885,,2023-10-01
0001318757-24-000008,2,3628,74893943772,N,2023-10-01
0000919574-24-004698,6,358,6007427789,,2023-10-01
0001121477-24-000025,0,1,717,,2023-10-01
0001172661-24-003502,0,54,1231756279,,2023-10-01
0001786915-24-000010,0,44,133215309,N,2023-10-01
0001683182-24-000004,0,72,521702,N,2023-10-01
0001121477-24-000024,0,1,562,,2023-10-01
0000950123-24-008679,1,4,1100890643,N,2023-10-01
0000950123-24-008677,1,1,83705828,N,2023-10-01
0001121477-24-000023,0,1,549,,2023-10-01
0001037792-24-000010,1,201,2194465442,N,2023-10-01
0001121477-24-000022,0,1,537,,2023-10-01
0001420506-24-001525,0,38,489250433,N,2023-10-01
0001121477-24-000021,0,1,506,,2023-10-01
0001405086-24-000206,1,13,113740122,N,2023-10-01
0001121477-24-000020,0,1,513,,2023-10-01
0001121477-24-000019,0,1,500,,2023-10-01
0001965104-24-000004,0,19,568869579,N,2023-10-01
0001140361-24-037257,0,69,511956075,,2023-10-01
0001121477-24-000018,0,1,582,,2023-10-01
0001420506-24-001524,0,4,629433,N,2023-10-01
0001121477-24-000017,0,1,139,,2023-10-01
0001214659-24-014592,0,41,923741561,,2023-10-01
0001121477-24-000016,0,1,144,,2023-10-01
0000908834-24-000202,0,1,44933010,,2023-10-01
0001730814-24-000004,0,355,458684390,N,2023-10-01
0001121477-24-000015,0,1,135,,2023-10-01
0000921895-24-001800,2,22,682900947,,2023-10-01
0001493152-24-032044,0,8,444782290,,2023-10-01
0000908834-24-000200,1,157,21191727167,Y,2023-10-01
0001121477-24-000014,0,1,121,,2023-10-01
0000950123-24-008669,1,1,0,N,2023-10-01
0001420506-24-001523,0,47,2625018986,N,2023-10-01
0001851869-24-000005,0,288,1998046571,,2023-10-01
0001172661-24-003501,0,2,1489769350,,2023-10-01
0001121477-24-000013,0,1,122,,2023-10-01
0001940461-24-000005,0,48,151592753,N,2023-10-01
0001493152-24-032042,0,162,84131507,,2023-10-01
0001986042-24-000013,0,308,183563277,N,2023-10-01
0001786915-24-000009,0,39,124429944,N,2023-10-01
0001033475-24-000006,0,67,1029419401,N,2023-10-01
0001121477-24-000011,0,1,123,,2023-10-01
0000919574-24-004697,0,47,396736956,,2023-10-01
0002011176-24-000002,0,3,186342853,N,2023-10-01
0001121477-24-000010,0,1,123,,2023-10-01
0001056823-24-000016,0,324,5722986266,N,2023-10-01
0001121477-24-000009,0,1,118,,2023-10-01
0001946205-24-000005,0,5,344080658,N,2023-10-01
0001121477-24-000008,0,1,123,,2023-10-01
0000950123-24-008665,0,931,14577329035,N,2023-10-01
0001964189-24-000004,2,196,3785325933,N,2023-10-01
0001172661-24-003500,1,2250,5899436076,,2023-10-01
0001791827-24-000007,0,85,2353381213,N,2023-10-01
0001646639-24-000006,0,120,1316774935,N,2023-10-01
0001654954-24-010591,1,1216,3175817302,N,2023-10-01
0000950123-24-008661,0,3,348414228,Y,2023-10-01
0001493152-24-032032,0,58,1310420582,,2023-10-01
0001809494-24-000004,0,49,77725732,N,2023-10-01
0000950123-24-008660,0,2,979965011,N,2023-10-01
0001121477-24-000007,0,441,350125468,,2023-10-01
0001802473-24-000004,0,475,949397498,N,2023-10-01
0001062993-24-015034,12,24,19194117276,N,2023-10-01
0001317348-24-000003,0,466,1376341276,N,2023-10-01
0001174850-24-000038,0,219,403286859,N,2023-10-01
0001931118-24-000009,0,39,79328656,N,2023-10-01
0001525109-24-000005,0,63,217100557,N,2023-10-01
0001855655-24-000009,0,35,2613016030,N,2023-10-01
0001448574-24-000003,0,444,5762689120,N,2023-10-01
0000938206-24-000027,0,363,10372016664,,2023-10-01
0000919574-24-004696,1,107,774540239,,2023-10-01
0000897069-24-001688,0,45,72144599,,2023-10-01
0000950159-24-000247,0,264,724579987,,2023-10-01
0001420506-24-001521,0,12,97865150,N,2023-10-01
0000950159-24-000245,0,73,185406944,,2023-10-01
0001631943-24-000007,0,15,92098834,,2023-10-01
0000950159-24-000243,1,39,76992372,,2023-10-01
0000919079-24-000011,0,0,136345056426,,2023-10-01
0000935836-24-000522,0,29,1652690145,,2023-10-01
0001722439-24-000004,0,165,257903,N,2023-10-01
0001172661-24-003499,0,17,1788118040,,2023-10-01
0001019056-24-000244,0,27,131346135,,2023-10-01
0001213900-24-068795,0,56,716320405,,2023-10-01
0001493152-24-032024,0,11,680155668,,2023-10-01
0001104659-24-089475,0,9,28330997,,2023-10-01
0000902664-24-005120,0,41,1462985338,,2023-10-01
0001600999-24-000004,0,43,674543695,N,2023-10-01
0001019056-24-000242,0,97,443988671,,2023-10-01
0000950159-24-000239,0,0,0,Y,2023-10-01
0000807985-24-000014,3,94,2295284354,N,2023-10-01
0001911520-24-000003,0,126,119513793,N,2023-10-01
0000950123-24-008653,2,14,793243729,N,2023-10-01
0001635663-24-000005,0,41,272487037,N,2023-10-01
0001140361-24-037248,4,54,1581002070,,2023-10-01
0000919574-24-004695,0,164,333636969,,2023-10-01
0001765380-24-000350,0,277,711020125,N,2023-10-01
0001630243-24-000010,0,27,917261151,N,2023-10-01
0001172661-24-003498,0,42,204012407,,2023-10-01
0001172661-24-003497,0,3,262721122,,2023-10-01
0001539639-24-000005,0,8,154832,N,2023-10-01
0000943663-24-000208,0,60,5324455894,,2023-10-01
0001908186-24-000004,0,401,265357987,N,2023-10-01
0001214659-24-014590,0,112,69019102,,2023-10-01
0001754960-24-000442,0,56,136372278,N,2023-10-01
0001172661-24-003496,0,115,148152816,,2023-10-01
0001546190-24-000014,0,15,989248092,N,2023-10-01
0001604867-24-000009,0,20,182918295,N,2023-10-01
0001172661-24-003495,0,20,1992160780,,2023-10-01
0001172661-24-003494,0,71,189902257,,2023-10-01
0001927881-24-000001,0,83,202348391,N,2023-10-01
0000950123-24-008646,10,186,23931511088,N,2023-10-01
0001754960-24-000440,0,78,213710540,N,2023-10-01
0001740140-24-000004,0,172,246900745,N,2023-10-01
0000943663-24-000206,0,11,81026770,,2023-10-01
0001426486-24-000004,0,39,552127499,N,2023-10-01
0001883719-24-000002,0,89,104247827,N,2023-10-01
0001834630-24-000005,0,147,87291533,N,2023-10-01
0001816427-24-000003,0,356,396198699,N,2023-10-01
0001599273-24-000003,0,105,223973988,N,2023-10-01
0001480916-24-000004,0,267,1564468339,N,2023-10-01
0002011645-24-000003,0,916,147053175,N,2023-10-01
0002029317-24-000031,0,681,121159839,N,2023-10-01
0001894203-24-000003,0,51,267554576,N,2023-10-01
0001729829-24-000011,0,5720,63268663107,N,2023-10-01
0001998389-24-000003,0,51,184303853,N,2023-10-01
0001104659-24-089460,4,8,391335233,,2023-10-01
0000935836-24-000521,0,13,89846349,,2023-10-01
0001980273-24-000005,0,64,315530810,N,2023-10-01
0001398739-24-000009,0,315,10666303,N,2023-10-01
0000919574-24-004684,3,36,94549838,,2023-10-01
0001699575-24-000006,0,62,94920047,N,2023-10-01
0002011399-24-000002,0,29,12528642,N,2023-10-01
0000919574-24-004682,3,132,2242452052,,2023-10-01
0000950123-24-008639,0,6,454745175,N,2023-10-01
0001706766-24-000005,0,1114,6493793116,N,2023-10-01
0000919574-24-004679,0,31,602167647,,2023-10-01
0001172661-24-003493,0,145,392395076,,2023-10-01
0001062993-24-015030,0,57,956283135,N,2023-10-01
0001535845-24-000007,0,965,34907205351,N,2023-10-01
0001531611-24-000003,0,10,7473371,N,2023-10-01
0001332632-24-000006,0,165,3548020623,N,2023-10-01
0001420506-24-001514,0,79,690031951,N,2023-10-01
0001493152-24-032006,0,44,115513396,,2023-10-01
0000895345-24-000353,0,2,25670612,,2023-10-01
0001128213-24-000004,0,192,515039417,N,2023-10-01
0001906602-24-000005,0,21,817306460,N,2023-10-01
0001213900-24-068757,0,197,1631299855,,2023-10-01
0001850901-24-000009,0,17,551546047,N,2023-10-01
0001595880-24-000004,0,75,4885093039,N,2023-10-01
0001398344-24-014641,0,331,1044623866,,2023-10-01
0001794467-24-000003,0,124,462040518,N,2023-10-01
0000895345-24-000352,0,2,8348734,,2023-10-01
0001213900-24-068755,0,27,829065733,,2023-10-01
0001994220-24-000018,0,182,874278355,N,2023-10-01
0002011250-24-000003,0,80,95812972,N,2023-10-01
0001089710-24-000003,0,102,303115,N,2023-10-01
0001937964-24-000005,0,46,517327924,N,2023-10-01
0001104659-24-089453,0,24,326315057,,2023-10-01
0001420506-24-001512,0,465,239842591,N,2023-10-01
0001615135-24-000003,0,64,300518313,N,2023-10-01
0000919574-24-004666,0,2921,8280535154,,2023-10-01
0001602119-24-000005,0,12,45905545,N,2023-10-01
0001632833-24-000005,0,1,616816375,N,2023-10-01
0001172661-24-003492,0,1184,3363745355,,2023-10-01
0001398344-24-014638,0,14,250625101,,2023-10-01
0000919574-24-004663,7,2989,43901317697,,2023-10-01
0001058470-24-000004,0,182,444104662,N,2023-10-01
0000919574-24-004662,0,351,2013858436,,2023-10-01
0001085146-24-003915,0,26,1296421245,,2023-10-01
0001729242-24-000004,0,2,40416906,N,2023-10-01
0000902664-24-005113,3,30,400911300,,2023-10-01
0001214659-24-014537,0,57,1001438148,,2023-10-01
0001853322-24-000005,0,637,546251829,N,2023-10-01
0001420506-24-001510,1,264,2539505515,N,2023-10-01
0000919574-24-004661,6,2414,44847616123,,2023-10-01
0001322924-24-000006,0,35,226597234,N,2023-10-01
0000945621-24-000675,2,489,7370599048,,2023-10-01
0001849753-24-000005,0,14,2241614800,N,2023-10-01
0001897612-24-001382,0,620,158445477,,2023-10-01
0001742418-24-000004,0,51,1289040,N,2023-10-01
0001000097-24-000011,0,82,932950517,N,2023-10-01
0001138897-24-000003,0,9,81318792,,2023-10-01
0000080255-24-000871,5,4459,835669940,,2023-10-01
0001759354-24-000003,0,48,146836378,N,2023-10-01
0001845660-24-000005,0,27,148581035,N,2023-10-01
0001172661-24-003490,0,62,5253057754,,2023-10-01
0001159363-24-000008,0,36,285622,N,2023-10-01
0001655183-24-000009,0,6,246846511,,2023-10-01
0001120048-24-000004,0,7,435301,N,2023-10-01
0001633227-24-000003,0,122,718186968,N,2023-10-01
0000950123-24-008629,0,4,131116655,N,2023-10-01
0001221073-24-000069,0,124,262961469,,2023-10-01
0001445911-24-000005,0,300,917610,N,2023-10-01
0001911013-24-000008,0,151,172022255,N,2023-10-01
0001067926-24-000005,0,42,1266351,N,2023-10-01
0001085146-24-003914,0,5,103665988,N,2023-10-01
0001795594-24-000007,2,4,18162790,N,2023-10-01
0001085146-24-003913,0,68,137820402,N,2023-10-01
0001493152-24-031991,0,6,4173839,,2023-10-01
0001172661-24-003489,0,87,61605518,,2023-10-01
0001420506-24-001506,0,355,4587757202,N,2023-10-01
0000892712-24-000102,0,160,455368573,N,2023-10-01
0001085146-24-003912,0,1316,9782551367,N,2023-10-01
0001140361-24-037223,0,45,413972450,,2023-10-01
0001085146-24-003911,0,20,920852994,N,2023-10-01
0001348883-24-000014,0,23,3423827376,,2023-10-01
0001085146-24-003910,0,156,564658569,N,2023-10-01
0001085146-24-003909,0,26,2786463600,N,2023-10-01
0000919574-24-004659,0,13,87548544,,2023-10-01
0001172661-24-003488,0,608,8883463510,,2023-10-01
0001943395-24-000005,0,40,669400616,N,2023-10-01
0001759654-24-000008,0,1314,5560534964,N,2023-10-01
0001332811-24-000007,0,111,402922327,,2023-10-01
0000884589-24-000008,0,695,4679336061,N,2023-10-01
0001420506-24-001503,0,51,800873152,N,2023-10-01
0001455253-24-000005,0,22,1810935136,N,2023-10-01
0001357550-24-000021,2,272,2646806965,N,2023-10-01
0001682475-24-000004,0,23,96938854,N,2023-10-01
0001348883-24-000013,1,694,121715526379,,2023-10-01
0000935836-24-000520,1,34,1875246979,,2023-10-01
0001420506-24-001501,0,63,319338992,N,2023-10-01
0001798849-24-000008,0,49,12181775838,,2023-10-01
0001172661-24-003487,0,101,210683634,,2023-10-01
0001027848-24-000006,2,2,260383223,N,2023-10-01
0000935836-24-000519,0,55,3268881624,,2023-10-01
0001568621-24-000008,0,25,730201887,N,2023-10-01
0001172661-24-003486,0,78,417096280,,2023-10-01
0001911013-24-000007,0,103,193431027,N,2023-10-01
0001172661-24-003485,0,109,180936796,,2023-10-01
0001214659-24-014475,0,81,126936975,,2023-10-01
0001420506-24-001499,0,9,366422825,N,2023-10-01
0000935836-24-000518,0,45,378921003,,2023-10-01
0001626494-24-000011,0,106,127577256,N,2023-10-01
0001172661-24-003484,0,233,1893374735,,2023-10-01
0001544599-24-000006,0,490,26147062579,N,2023-10-01
0000950123-24-008626,0,44,643506945,N,2023-10-01
0000895345-24-000351,0,3,791981855,,2023-10-01
0001450701-24-000006,0,5,10142836108,N,2023-10-01
0001420506-24-001497,0,0,0,N,2023-10-01
0001856083-24-000003,0,68,3350383688,N,2023-10-01
0000899140-24-000885,0,1,0,,2023-10-01
0001964437-24-000007,0,26,264639619,N,2023-10-01
0000935836-24-000517,0,10,408943786,,2023-10-01
0001332811-24-000006,0,112,402922327,N,2023-10-01
0001420506-24-001496,0,13,108599547,N,2023-10-01
0000902664-24-005111,0,1,1649311,,2023-10-01
0000899140-24-000884,0,9,1006853829,,2023-10-01
0001085146-24-003908,0,1263,4271923660,N,2023-10-01
0000950123-24-008624,0,6,182086838,N,2023-10-01
0001803237-24-000003,0,105,709685739,N,2023-10-01
0001085146-24-003907,1,243,1935418674,N,2023-10-01
0001085146-24-003906,0,0,0,N,2023-10-01
0000950123-24-008621,1,1,104487688,N,2023-10-01
0001085146-24-003905,1,31,1807886811,N,2023-10-01
0001420506-24-001494,0,40,152220782,N,2023-10-01
0001085146-24-003904,0,0,0,N,2023-10-01
0001711200-24-000004,0,104,217418704,N,2023-10-01
0001085146-24-003903,0,425,3533695657,N,2023-10-01
0001376474-24-000444,0,229,132231436,,2023-10-01
0001600064-24-000005,4,2364,7442635159,N,2023-10-01
0001085146-24-003902,0,99,606321973,N,2023-10-01
0001376474-24-000443,0,277,4816251234,,2023-10-01
0001140361-24-037216,1,7,194741543,,2023-10-01
0001803329-24-000003,0,163,436751547,N,2023-10-01
0001085146-24-003901,12,13,466287183,N,2023-10-01
0001934500-24-000008,0,115,104967609,N,2023-10-01
0001376474-24-000442,0,19,187645494,,2023-10-01
0001402828-24-000006,1,1481,113628108,N,2023-10-01
0001104659-24-089430,0,255,558308916,,2023-10-01
0001214659-24-014472,0,32,959501740,,2023-10-01
0001578621-24-000008,4,1084,11840218700,N,2023-10-01
0001768757-24-000004,0,21,325855964,N,2023-10-01
0001376474-24-000441,0,22,129928696,,2023-10-01
0001929389-24-000009,0,34,247781752,N,2023-10-01
0001376474-24-000440,0,184,3749063256,,2023-10-01
0001376474-24-000439,0,14,380279000,,2023-10-01
0001469026-24-000008,0,14,2627227453,N,2023-10-01
0001861244-24-000004,1,5,304245,N,2023-10-01
0001376474-24-000438,0,63,151795822,,2023-10-01
0001713269-24-000004,0,8,295775113,N,2023-10-01
0001420506-24-001491,0,33,39844370,N,2023-10-01
0001172661-24-003483,1,16,213302899,,2023-10-01
0001172661-24-003482,0,545,10476465877,,2023-10-01
0001172661-24-003481,0,54,1208742824,,2023-10-01
0001950962-24-000006,0,91,252337170,N,2023-10-01
0000919574-24-004653,2,22,437728866,,2023-10-01
0001398344-24-014634,0,171,17795488224,,2023-10-01
0001387303-24-000009,2,16,118062446,N,2023-10-01
0001006378-24-000010,1,409,5640287814,N,2023-10-01
0001214659-24-014469,4,56,13483365,,2023-10-01
0001420506-24-001488,0,40,187215636,N,2023-10-01
0001420506-24-001489,0,9,408446746,N,2023-10-01
0001011443-24-000027,0,17,2446693217,,2023-10-01
0000929638-24-002790,2,2,708,,2023-10-01
0000929638-24-002789,1,1,759,,2023-10-01
0001835700-24-000003,0,4,7866276,N,2023-10-01
0000929638-24-002788,1,304,3544218,,2023-10-01
0001172661-24-003480,0,16,1738163332,,2023-10-01
0000950123-24-008609,0,0,0,N,2023-10-01
0001009232-24-000010,2,270,5491362670,N,2023-10-01
0001918181-24-000006,0,7,991629,N,2023-10-01
0001755784-24-000007,0,13,259848123,N,2023-10-01
0001085146-24-003899,0,0,0,N,2023-10-01
0001454027-24-000003,1,2970,18282342143,N,2023-10-01
0001085146-24-003897,0,0,0,N,2023-10-01
0001085146-24-003896,0,0,0,N,2023-10-01
0001376474-24-000437,0,38,86691882,,2023-10-01
0000950123-24-008604,1,30,265967483,N,2023-10-01
0001172661-24-003479,0,4,65662946,,2023-10-01
0001138897-24-000002,0,9,81318792,,2023-10-01
0001376474-24-000436,0,605,759770231,,2023-10-01
0001085146-24-003892,0,0,0,N,2023-10-01
0001062993-24-015027,0,1533,67300455819,N,2023-10-01
0001376474-24-000435,0,51,119516044,,2023-10-01
0000927337-24-000019,1,4371,94972191494,N,2023-10-01
0001376474-24-000434,0,162,332098723,,2023-10-01
0001085146-24-003890,0,0,0,N,2023-10-01
0001085146-24-003889,0,0,0,N,2023-10-01
0001887441-24-000009,0,100,224592053,N,2023-10-01
0001424367-24-000007,1,228,884682926,N,2023-10-01
0001376474-24-000433,0,104,918531729,,2023-10-01
0001085146-24-003888,0,248,20353525988,N,2023-10-01
0001376474-24-000432,0,96,4565478791,,2023-10-01
0001906602-24-000004,0,463,575046664,N,2023-10-01
0001172661-24-003478,0,0,0,,2023-10-01
0000829108-24-000004,0,686,13380885065,,2023-10-01
0001085146-24-003887,0,16,171898952,Y,2023-10-01
0001616628-24-000004,0,75,199450975,N,2023-10-01
0001172661-24-003477,6,262,681739404,,2023-10-01
0000905148-24-002173,0,3,195158886,,2023-10-01
0001808275-24-000005,0,10,644607566,N,2023-10-01
0001566887-24-000007,0,39,330329605,N,2023-10-01
0001068837-24-000008,4,4370,88167524101,N,2023-10-01
0001666335-24-000011,1,124,15970332716,N,2023-10-01
0001085146-24-003885,0,26,319388570,N,2023-10-01
0001104659-24-089419,0,196,849181635,,2023-10-01
0001062993-24-015025,0,79,743952501,N,2023-10-01
0001085146-24-003884,0,108,240092454,N,2023-10-01
0000950123-24-008599,0,6,487129116,N,2023-10-01
0001661140-24-000005,1,112,747174286,,2023-10-01
0001172661-24-003476,0,52,301065317,,2023-10-01
0001423442-24-000010,0,2060,9684258045,,2023-10-01
0002003633-24-000004,0,300,306834853,N,2023-10-01
0001104659-24-089417,0,230,512047724,,2023-10-01
0001835730-24-000007,0,43,657989945,N,2023-10-01
0001172661-24-003475,0,24,242636140,,2023-10-01
0001376474-24-000431,0,84,152411152,,2023-10-01
0000950123-24-008596,1,1,105540112,N,2023-10-01
0000950123-24-008594,0,576,1071140369,N,2023-10-01
0001085146-24-003883,0,0,0,N,2023-10-01
0001085146-24-003882,1,4,145105500,N,2023-10-01
0001172661-24-003474,0,10,186987849,,2023-10-01
0001085146-24-003881,1,3,185927960,N,2023-10-01
0001213900-24-068703,0,3,240602954,,2023-10-01
0001085146-24-003880,1,1,37948000,N,2023-10-01
0000950123-24-008592,0,754,4970261457,N,2023-10-01
0001085146-24-003879,1,87,302201238,Y,2023-10-01
0001999371-24-010097,0,33,675325644,,2023-10-01
0001597857-24-000005,1,69,399963270,N,2023-10-01
0001104659-24-089415,0,26,467343984,,2023-10-01
0001085146-24-003878,0,369,3676330545,N,2023-10-01
0000950159-24-000237,0,14,713523467,,2023-10-01
0001680365-24-000003,0,32,50597033,N,2023-10-01
0001085146-24-003877,0,101,6176471106,N,2023-10-01
0001172661-24-003472,1,34,3760624467,,2023-10-01
0001085146-24-003876,0,14,724340023,N,2023-10-01
0001085146-24-003875,0,1878,4434443375,N,2023-10-01
0001428569-24-000003,0,24,187434353,,2023-10-01
0001892688-24-000089,0,24,498686736,N,2023-10-01
0001056973-24-000017,0,93,640652360,N,2023-10-01
0001085146-24-003874,0,40,1882835907,N,2023-10-01
0000950123-24-008587,0,1,0,N,2023-10-01
0000950123-24-008586,4,526,37059194254,N,2023-10-01
0001909316-24-000002,3,1081,2353653728,N,2023-10-01
0001405086-24-000204,0,133,258175406,N,2023-10-01
0001085146-24-003873,0,70,18118374239,N,2023-10-01
0001172661-24-003471,0,4,130071810,,2023-10-01
0001085146-24-003872,0,136,478416786,N,2023-10-01
0001172661-24-003470,0,0,0,,2023-10-01
0001750312-24-000005,0,28,129048473,N,2023-10-01
0001535264-24-000050,0,114,740246820,N,2023-10-01
0001085146-24-003871,0,13,373892657,N,2023-10-01
0000919574-24-004639,1,184,541293466,,2023-10-01
0001837343-24-000004,0,24,1391551737,N,2023-10-01
0001172661-24-003469,0,20,136083429,,2023-10-01
0001455915-24-000005,0,1331,5889873813,N,2023-10-01
0001172661-24-003468,0,262,2330079896,,2023-10-01
0002012031-24-000002,0,2151,133753807,N,2023-10-01
0001085146-24-003870,0,0,0,N,2023-10-01
0000948046-24-000118,17,12519,221628675313,,2023-10-01
0000038777-24-000118,2,102,2788367698,,2023-10-01
0001172661-24-003467,0,112,3322377700,,2023-10-01
0001085146-24-003869,14,3910,186741475541,,2023-10-01
0001420506-24-001485,0,6,463662083,N,2023-10-01
0001172661-24-003466,3,221,613642920,,2023-10-01
0001892688-24-000088,0,15,580183853,N,2023-10-01
0001656150-24-000004,0,46,147361049,N,2023-10-01
0001493152-24-031975,0,22,259482579,,2023-10-01
0001970572-24-000008,0,16,317547,N,2023-10-01
0001861026-24-000007,0,82,3192301746,,2023-10-01
0001172661-24-003465,0,173,816837962,,2023-10-01
0000950123-24-008579,0,1,61833188,N,2023-10-01
0001754960-24-000438,0,61,44914479,N,2023-10-01
0001398344-24-014629,0,966,969321754,,2023-10-01
0001172661-24-003464,0,4,189741000,,2023-10-01
0001085146-24-003868,0,0,0,N,2023-10-01
0001085146-24-003867,0,0,0,N,2023-10-01
0001085146-24-003866,0,0,0,N,2023-10-01
0001085146-24-003865,0,0,0,N,2023-10-01
0001085146-24-003864,0,0,0,N,2023-10-01
0001172661-24-003463,0,75,129843483,,2023-10-01
0001172661-24-003462,0,46,2840752830,,2023-10-01
0001172661-24-003461,0,0,0,,2023-10-01
0001085146-24-003863,0,70,275088071,N,2023-10-01
0000919574-24-004635,0,3,57427458,,2023-10-01
0001085146-24-003862,0,4,28591637,N,2023-10-01
0001104883-24-000009,0,61,574306503,N,2023-10-01
0001892688-24-000087,0,18,173053096,N,2023-10-01
0001085146-24-003861,0,9,16632114590,N,2023-10-01
0001104659-24-089412,0,1,0,,2023-10-01
0001172661-24-003460,0,36,9273708,,2023-10-01
0001085146-24-003860,0,1,0,N,2023-10-01
0001172661-24-003459,0,279,10099282807,,2023-10-01
0001172661-24-003458,0,222,10349502817,,2023-10-01
0000919574-24-004634,0,1,12723507,,2023-10-01
0001137774-24-000173,0,229,4479807059,N,2023-10-01
0000935836-24-000516,0,68,4461812366,,2023-10-01
0001085146-24-003858,0,84,171153209,N,2023-10-01
0001172661-24-003457,0,1943,46451579061,,2023-10-01
0001085146-24-003857,3,5030,22153388285,N,2023-10-01
0001085146-24-003856,0,71,227265919,N,2023-10-01
0001892688-24-000086,0,31,49239034,N,2023-10-01
0001172661-24-003456,1,191,134562506,,2023-10-01
0001132716-24-000033,0,1,93825999,,2023-10-01
0001085146-24-003855,0,0,0,N,2023-10-01
0000935836-24-000515,0,29,802010583,,2023-10-01
0001802893-24-000006,0,18,113906407,N,2023-10-01
0001172661-24-003455,0,93,319545440,,2023-10-01
0000038777-24-000117,19,12118,325270349355,,2023-10-01
0001754960-24-000436,0,16,107685934,N,2023-10-01
0000950123-24-008566,0,9,22798398,N,2023-10-01
0001323255-24-000014,3,168,17462829220,,2023-10-01
0001085146-24-003854,0,159,640767389,N,2023-10-01
0001172661-24-003454,0,21,2904967288,,2023-10-01
0001172661-24-003453,0,115,187503670,,2023-10-01
0000010742-24-000010,0,179,4827411169,N,2023-10-01
0001172661-24-003452,0,88,190234719,,2023-10-01
0001172661-24-003451,0,1,378580964,,2023-10-01
0000950123-24-008563,3,554,12398469727,N,2023-10-01
0001754960-24-000435,0,57,1033979645,N,2023-10-01
0001775863-24-000011,0,354,1043730402,N,2023-10-01
0001085146-24-003853,0,0,0,N,2023-10-01
0001197853-24-000009,0,8,1141423858,N,2023-10-01
0001172661-24-003450,0,95,127181116,,2023-10-01
0001085146-24-003852,0,0,0,N,2023-10-01
0001085146-24-003851,0,0,0,N,2023-10-01
0001172661-24-003449,0,8,215630561,,2023-10-01
0001405086-24-000198,4,11,101169466,N,2023-10-01
0001085146-24-003850,3,125,16053605330,N,2023-10-01
0001374170-24-000039,0,2007,506721878362,,2023-10-01
0001011438-24-000458,0,38,20660166120,,2023-10-01
0001011443-24-000025,0,151,20512844264,Y,2023-10-01
0001420506-24-001479,0,29,529117335,N,2023-10-01
0001085146-24-003849,0,0,0,N,2023-10-01
0001172661-24-003445,0,2,96955279,,2023-10-01
0001172661-24-003443,0,1260,2121182829,,2023-10-01
0001172661-24-003442,4,157,1162302447,,2023-10-01
0001172661-24-003441,0,26,867121130,,2023-10-01
0001866574-24-000005,0,39,572820,N,2023-10-01
0001172661-24-003440,0,75,267197750,,2023-10-01
0001132716-24-000032,0,1,86669398,,2023-10-01
0001803088-24-000004,0,45,225108609,N,2023-10-01
0001420506-24-001477,0,65,250372563,N,2023-10-01
0001772937-24-000005,2,81,507024,N,2023-10-01
0001889539-24-000040,2,3060,18194958573,N,2023-10-01
0001140361-24-037206,0,409,1245983822,,2023-10-01
0001172661-24-003438,0,48,20227887,,2023-10-01
0001770525-24-000009,0,31,166991246,N,2023-10-01
0001172661-24-003437,1,72,709012245,,2023-10-01
0001405086-24-000196,0,90,1540991539,N,2023-10-01
0001172661-24-003436,0,51,17155217,,2023-10-01
0001172661-24-003435,0,779,617580473,,2023-10-01
0001172661-24-003434,0,64,16326973,,2023-10-01
0001434819-24-000008,2,650,56050347233,,2023-10-01
0001420506-24-001474,0,5,100968439,N,2023-10-01
0001140361-24-037205,0,23,131444794,,2023-10-01
0001172661-24-003433,0,44,25118177,,2023-10-01
0001172661-24-003432,0,175,4483477355,,2023-10-01
0001600698-24-000030,0,12,135865758,,2023-10-01
0001013594-24-000656,0,54,2172743427,,2023-10-01
0001172661-24-003431,1,4187,42151390902,,2023-10-01
0001352272-24-000006,0,22,102554068,,2023-10-01
0002017870-24-000004,1,943,139254250,,2023-10-01
0001013594-24-000655,0,39,164721232,,2023-10-01
0001172661-24-003430,0,5512,56070043125,,2023-10-01
0000950123-24-008554,2,3206,86516438221,N,2023-10-01
0001172661-24-003429,0,21,763049166,,2023-10-01
