ACCESSION_NUMBER,OTHERINCLUDEDMANAGERSCOUNT,TABLEENTRYTOTAL,TABLEVALUETOTAL,ISCONFIDENTIALOMITTED,timestamp
0001420506-24-001738,0,131,289144424,N,2023-10-01
0000878770-24-000013,0,317,339471346,N,2023-10-01
0000878770-24-000012,0,509,669717278,N,2023-10-01
0001903905-24-000005,0,78,120736370,,2023-10-01
0000714142-24-000003,23,3677,11136421,N,2023-10-01
0000950123-24-008953,2,47,1566083710,N,2023-10-01
0001632968-24-000002,0,122,938372418,N,2023-10-01
0001965546-24-000004,0,12,88652835,N,2023-10-01
0002033881-24-000012,0,7,78730631,N,2023-10-01
0002033881-24-000011,0,11,97260347,N,2023-10-01
0002033881-24-000010,0,14,81064162,N,2023-10-01
0002033881-24-000009,0,22,129555422,N,2023-10-01
0002033881-24-000008,0,67,168006801,N,2023-10-01
0002033881-24-000007,0,56,130119115,N,2023-10-01
0000767684-24-000004,0,80,122654,N,2023-10-01
0001589176-24-000008,0,71,1294022154,N,2023-10-01
0001398344-24-015396,0,560,337228857,,2023-10-01
0002034793-24-000001,0,159,129351567,N,2023-10-01
0001589176-24-000007,0,80,671213398,N,2023-10-01
0001589176-24-000006,0,86,1148825872,N,2023-10-01
0001595521-24-000007,0,263,354135006,,2023-10-01
0001641864-24-000011,0,1,1144137,,2023-10-01
0002034894-24-000001,0,14,113319088,N,2023-10-01
0001013234-24-000003,0,76,157322128,N,2023-10-01
0001601407-24-000005,0,31,3009928665,,2023-10-01
0000820434-24-000002,0,36,25239178,N,2023-10-01
0001713558-24-000007,0,79,122555900,,2023-10-01
0001398344-24-015203,0,384,334836439,,2023-10-01
0001062993-24-015544,0,107,170361911,N,2023-10-01
0001085146-24-004173,0,3724,43422523612,N,2023-10-01
0001681614-24-000007,0,22,161594862,N,2023-10-01
0001085146-24-004168,2,708,34313327148,N,2023-10-01
0001085146-24-004163,2,741,32574711033,N,2023-10-01
0001085146-24-004162,2,730,31251159779,N,2023-10-01
0001681614-24-000006,0,22,161594862,N,2023-10-01
0001062993-24-015537,0,64,76310639,N,2023-10-01
0001085146-24-004159,1,31,1718830011,N,2023-10-01
0002033881-24-000006,0,63,107972318,N,2023-10-01
0002033881-24-000005,0,14,89424098,N,2023-10-01
0002033881-24-000004,0,31,146257980,N,2023-10-01
0002033881-24-000003,0,34,129166783,N,2023-10-01
0001213900-24-071614,0,16,236973504,,2023-10-01
0001213900-24-071586,0,183,327591172,,2023-10-01
0001415201-24-000005,0,243,1080468388,N,2023-10-01
0001999371-24-010469,0,25,147088,,2023-10-01
0001866040-24-000007,0,178,176301854,N,2023-10-01
0001085146-24-004144,0,395,2536838147,N,2023-10-01
0001768041-24-000004,0,19,1591945014,,2023-10-01
0001172661-24-003650,0,85,186397633,,2023-10-01
0001911472-24-000002,0,66,186695,N,2023-10-01
0001951757-24-000914,0,48,74073829,N,2023-10-01
0001343916-24-000003,0,140,212453990,Y,2023-10-01
0001172661-24-003638,0,21,505978808,,2023-10-01
0001172661-24-003637,0,21,562263340,,2023-10-01
0001863894-24-000003,0,47,155340302,N,2023-10-01
0001085146-24-004085,0,75,390359156,N,2023-10-01
0000092230-24-000047,3,5940,65752064699,N,2023-10-01
0001085146-24-004084,0,83,414461927,N,2023-10-01
0000935836-24-000540,0,25,109604967,,2023-10-01
0002024152-24-000006,0,20995,278992584,N,2023-10-01
0001104659-24-091322,0,130,1710922040,,2023-10-01
0001641864-24-000008,0,2,3893822,,2023-10-01
0001214659-24-015023,0,40,156902052,,2023-10-01
0001765380-24-000370,0,28,248418409,N,2023-10-01
0001765380-24-000369,0,26,230581257,N,2023-10-01
0000950123-24-008900,0,38,1854897213,N,2023-10-01
0002033881-24-000002,0,91,217234772,N,2023-10-01
0001437749-24-027302,0,139,238969166,N,2023-10-01
0001443689-24-000012,0,71,2050286626,Y,2023-10-01
0000902664-24-005203,0,1790,38213665616,,2023-10-01
0001599390-24-000002,0,141,2727255547,N,2023-10-01
0001616328-24-000003,0,266,1439866,N,2023-10-01
0001760444-24-000004,0,129,1036864,N,2023-10-01
0001802131-24-000005,0,34,118731994,,2023-10-01
0001802131-24-000004,0,42,113238186,,2023-10-01
0001802131-24-000003,0,36,120618936,,2023-10-01
0001802131-24-000002,0,33,134149161,,2023-10-01
0001085146-24-004073,2,669,31963108229,N,2023-10-01
0001398344-24-014915,0,859,9412706239,,2023-10-01
0002034214-24-000001,0,157,111441025,N,2023-10-01
0000019475-24-000005,0,122,281964000,N,2023-10-01
0001912970-24-000005,0,79,222120826,N,2023-10-01
0000890163-24-000016,0,374,1212405656,,2023-10-01
0001041062-24-000136,2,369,8120858523,N,2023-10-01
0001892688-24-000100,1,1,1266000,,2023-10-01
0001213900-24-070419,0,1379,3928448737,,2023-10-01
0001095449-24-000068,0,32,55639051,N,2023-10-01
0001095449-24-000069,0,32,55639055,N,2023-10-01
0001221073-24-000075,0,264,330884904,N,2023-10-01
0001085146-24-004047,0,50,126335489,N,2023-10-01
0001839445-24-000002,0,92,151219941,N,2023-10-01
0001012975-24-000346,0,110,4151786846,N,2023-10-01
0000895421-24-000436,24,46943,1246178921997,,2023-10-01
0001855205-24-000040,0,287,416768694,N,2023-10-01
0002007748-24-000006,0,56,137387884,N,2023-10-01
0000895421-24-000434,24,44908,1134781557214,,2023-10-01
0001999898-24-000005,0,77,136911816,N,2023-10-01
0001376474-24-000461,0,169,187010113,,2023-10-01
0001376474-24-000460,0,363,500201644,,2023-10-01
0001420506-24-001617,0,79,690031951,N,2023-10-01
0001477872-24-000004,0,42,2199296978,N,2023-10-01
0001104659-24-090418,0,86,179992333,,2023-10-01
0001420506-24-001614,0,53,35531033,N,2023-10-01
0001420506-24-001612,0,42,27920829,N,2023-10-01
0000899140-24-000904,0,29,1043293545,,2023-10-01
0001992879-24-000004,0,115,326890521,N,2023-10-01
0001654954-24-010826,1,1215,3047243271,,2023-10-01
0001654954-24-010825,1,1217,2766339766,,2023-10-01
0001654954-24-010824,1,1212,2310024608,,2023-10-01
0001654954-24-010823,1,1258,2314921038,,2023-10-01
0001654954-24-010821,1,1238,2228693163,,2023-10-01
0001654954-24-010820,1,1208,2116727963,,2023-10-01
0001654954-24-010819,1,1211,1955672025,,2023-10-01
0001654954-24-010818,1,1223,2051924464,,2023-10-01
0001654954-24-010817,1,1265,2348590382,,2023-10-01
0001654954-24-010816,1,1159,2407776394,,2023-10-01
0001654954-24-010815,1,1211,2339300438,,2023-10-01
0001654954-24-010814,1,1219,2342013507,,2023-10-01
0001654954-24-010813,1,1165,2140969432,,2023-10-01
0001654954-24-010812,1,1142,1970762167,,2023-10-01
0001654954-24-010811,1,1111,1787020721,,2023-10-01
0001867587-24-000003,0,269,906389400,N,2023-10-01
0001654954-24-010810,1,1102,1712722918,,2023-10-01
0001654954-24-010809,1,1071,1397773288,,2023-10-01
0001654954-24-010808,1,1068,1671268396,,2023-10-01
0001420506-24-001610,0,28,1014096341,N,2023-10-01
0001569036-24-000010,0,68,623090,N,2023-10-01
0001965207-24-000011,0,1766,347677492,,2023-10-01
0001420506-24-001606,0,49,156458486,N,2023-10-01
0001085146-24-004037,0,169,402530071,N,2023-10-01
0001729254-24-000003,0,943,287635766,N,2023-10-01
0001054646-24-000005,0,300,1031645915,N,2023-10-01
0001085146-24-004034,0,40,219088648,N,2023-10-01
0001085936-24-000031,2,400,3291663808,N,2023-10-01
0001085146-24-004035,0,88,191071390,N,2023-10-01
0001054646-24-000006,0,303,1033031969,,2023-10-01
0001085146-24-004036,0,3482,101370807192,N,2023-10-01
0001213900-24-069816,0,3787,13736047423,,2023-10-01
0002034054-24-000001,0,159,152695277,N,2023-10-01
0001062993-24-015215,0,1770,977542696,N,2023-10-01
0001908938-24-000003,0,757,1062320092,N,2023-10-01
0001862787-24-000002,0,6,555114,N,2023-10-01
0001085146-24-004033,0,0,0,N,2023-10-01
0000894309-24-000006,0,147,138722609,N,2023-10-01
0001698607-24-000005,0,40,2002681,N,2023-10-01
0000894309-24-000005,0,151,167226239,N,2023-10-01
0002032436-24-000002,0,126,135782841,N,2023-10-01
0000950123-24-008866,0,6,71281053,N,2023-10-01
0001140361-24-037520,2,332,194445234,,2023-10-01
0001911372-24-000004,0,39,211467254,N,2023-10-01
0001062993-24-015172,0,315,2240639667,N,2023-10-01
0001767040-24-000003,0,88,155499724,N,2023-10-01
0001583092-24-000008,0,143,1209357,N,2023-10-01
0001564702-24-000017,0,654,1056429181,N,2023-10-01
0001742569-24-000005,0,90,408124792,N,2023-10-01
0000897070-24-000008,0,97,740605266,N,2023-10-01
0002011050-24-000004,5,126,139256,N,2023-10-01
0002022328-24-000001,0,83,169884724,,2023-10-01
0000935836-24-000529,0,31,1716395115,,2023-10-01
0001598350-24-000003,0,20,2225071599,N,2023-10-01
0001085146-24-004029,1,876,3865553497,N,2023-10-01
0001085146-24-004028,0,12,743030813,N,2023-10-01
0001846677-24-000003,0,13,662957341,N,2023-10-01
0001116247-24-000004,0,111,166888448,N,2023-10-01
0001062993-24-015153,0,1798,606355091,N,2023-10-01
0000036644-24-000005,0,491,1521992550,N,2023-10-01
0000816788-24-000003,0,47,42246,N,2023-10-01
0001398344-24-014771,0,48,51435467,,2023-10-01
0001172661-24-003592,0,669,31186433239,,2023-10-01
0001420506-24-001595,0,0,0,N,2023-10-01
0001085146-24-004025,0,123,411659065,N,2023-10-01
0001599863-24-000008,0,274,2170580937,N,2023-10-01
0001754960-24-000444,0,94,221894568,N,2023-10-01
0001674020-24-000003,1,276,158250703,N,2023-10-01
0001050442-24-000015,0,66,5311336073,N,2023-10-01
0001982273-24-000004,0,605,728227858,N,2023-10-01
0001803662-24-000003,0,329,317321610,N,2023-10-01
0001687832-24-000003,0,143,295204161,N,2023-10-01
0000905148-24-002248,0,5,116269167,,2023-10-01
0000936936-24-000004,0,74,140377,N,2023-10-01
0001104659-24-090058,0,15,110612298,,2023-10-01
0001540235-24-000004,1,22626,93667207617,N,2023-10-01
0001104659-24-090054,0,64,1787596851,,2023-10-01
0001848237-24-000004,0,370,560644,N,2023-10-01
0001213900-24-069486,0,13,87343021,,2023-10-01
0001493152-24-032561,0,67,648519702,,2023-10-01
0001892134-24-000004,0,49,2137654638,N,2023-10-01
0000938206-24-000031,0,361,10336797484,,2023-10-01
0001902506-24-000003,0,96,194696724,,2023-10-01
0002022866-24-000004,0,63,236873380,N,2023-10-01
0001420506-24-001590,0,104,497533195,N,2023-10-01
0001420506-24-001588,0,370,554594573,N,2023-10-01
0001642274-24-000003,0,16,140257,N,2023-10-01
0001996244-24-000008,1,20,103463570,N,2023-10-01
0001591546-24-000009,0,139,416058134,N,2023-10-01
0001765923-24-000004,0,55,414760822,N,2023-10-01
0001081698-24-000004,0,0,0,N,2023-10-01
0001446194-24-000006,7,14723,537086808136,N,2023-10-01
0001556785-24-000016,0,1,504556,,2023-10-01
0002011177-24-000003,0,71,141744000,N,2023-10-01
0001632253-24-000003,0,61,242164,N,2023-10-01
0001802655-24-000006,0,225,962008361,N,2023-10-01
0001794543-24-000006,0,344,944415269,N,2023-10-01
0001461945-24-000004,0,13,89453989,N,2023-10-01
0001077428-24-000171,0,123,243601281,N,2023-10-01
0001864123-24-000003,0,177,334789766,N,2023-10-01
0001062993-24-015143,0,255,324340069,N,2023-10-01
0001172661-24-003589,0,276,1090799000,,2023-10-01
0001172661-24-003588,0,167,368022547,,2023-10-01
0001756759-24-000005,0,196,140827470,N,2023-10-01
0001770532-24-000004,0,55,291809284,N,2023-10-01
0001812853-24-000006,0,244,116366,N,2023-10-01
